"filename", "language", "Go", "Go Module File", "Go Checksum File", "Markdown", "YAML", "HTML", "Python", "pip requirements", "JSON", "Log", "JavaScript", "XML", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/README.md", "Markdown", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 286
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/agents/dean_ai_agent.py", "Python", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 99
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/config/config.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/docreader/docreader.py", "Python", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/go_backend/user.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 28
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/main.py", "Python", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 73
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ai_engine/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/auth/auth.go", "Go", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/auth/login.go", "Go", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 60
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/auth/register.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 101
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/auth/verify.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/config/config.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/config/config.yml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/config/db.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 44
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/config/email.go", "Go", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 123
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/config/verifyEmail.html", "HTML", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 142
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/controllers/materials.go", "Go", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 50
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/courses/materials.go", "Go", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/go.mod", "Go Module File", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/go.sum", "Go Checksum File", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 150
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/info/info.go", "Go", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 47
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/main.go", "Go", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 56
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/me/me.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/middlewares/auth.go", "Go", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 131
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/models/user.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/utils/auth.go", "Go", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 150
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/utils/stream.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 24
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/backend/ws/stream.go", "Go", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 74
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/README.md", "Markdown", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, -71
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/config-overrides.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -2, -14
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -10
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/package-lock 2.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -20460, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20461
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -73, 0, 0, 0, 0, 0, 0, 0, 0, -1, -74
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -1, -44
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -1, -26
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, -6, -39
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, -3, -54
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -130, 0, 0, 0, -7, -137
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -175, 0, 0, -6, -12, -193
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/config/api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, -4, -5, -38
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/custom.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -3, -19
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/i18n.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, -2, -52
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/i18n/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -2, -31
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, -2, -14
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -3, -23
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/ar/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/de/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/en/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/es/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/fr/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/ja/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/locales/zh/translation.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -232, 0, 0, -6, -21, -259
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/LearningPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -139, 0, 0, -2, -9, -150
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/PersonalHomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -147, 0, 0, -2, -14, -163
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/PrincipalAIPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -242, 0, 0, -6, -21, -269
